,home_team,away_team,home_score,away_score,round,year,date,replay,qualifier,match_id,stage,winner,left,right
1,WANDERERS,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1872,05.03.72,False,False,16065,2.0,,WANDERERS,QUEEN'S PARK (GLASGOW)
3,WANDERERS,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1872,01.01.01,True,False,16067,2.0,,WANDERERS,QUEEN'S PARK (GLASGOW)
9,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,0.0,0.0,SECOND ROUND PROPER,1872,01.01.01,False,False,16058,4.0,,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL
11,WANDERERS,CRYSTAL PALACE,0.0,0.0,THIRD ROUND PROPER,1872,20.01.72,False,False,16063,3.0,,WANDERERS,CRYSTAL PALACE
14,HITCHIN,CRYSTAL PALACE,0.0,0.0,FIRST ROUND PROPER,1872,11.11.71,False,False,16049,5.0,,HITCHIN,CRYSTAL PALACE
18,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16051,5.0,,QUEEN'S PARK (GLASGOW),DONNINGTON SCHOOL
19,ROYAL ENGINEERS,REIGATE PRIORY,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16052,5.0,,ROYAL ENGINEERS,REIGATE PRIORY
20,WANDERERS,HARROW CHEQUERS,0.0,0.0,FIRST ROUND PROPER,1872,01.01.01,False,False,16054,5.0,,WANDERERS,HARROW CHEQUERS
41,CLAPHAM ROVERS,HITCHIN,0.0,0.0,FIRST ROUND PROPER,1873,01.01.01,False,False,16071,6.0,,HITCHIN,CLAPHAM ROVERS
44,OXFORD UNIVERSITY,QUEEN'S PARK (GLASGOW),0.0,0.0,SEMI-FINAL,1873,01.01.01,False,False,16092,2.0,,QUEEN'S PARK (GLASGOW),OXFORD UNIVERSITY
54,WANDERERS,TROJANS,0.0,0.0,SECOND ROUND PROPER,1874,01.01.01,False,False,16117,4.0,,WANDERERS,TROJANS
55,SHEFFIELD,SHROPSHIRE WANDERERS,0.0,0.0,FIRST ROUND PROPER,1874,17.11.73,True,False,16110,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
57,SHROPSHIRE WANDERERS,SHEFFIELD,0.0,0.0,FIRST ROUND PROPER,1874,30.10.73,False,False,16103,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
66,CLAPHAM ROVERS,AMATEUR ATHLETIC CLUB,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16097,5.0,,CLAPHAM ROVERS,AMATEUR ATHLETIC CLUB
67,HIGH WYCOMBE,OLD ETONIANS,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16099,5.0,,OLD ETONIANS,HIGH WYCOMBE
68,MAIDENHEAD,CIVIL SERVICE,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16100,5.0,,MAIDENHEAD,CIVIL SERVICE
69,TROJANS,FARNINGHAM,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16104,5.0,,TROJANS,FARNINGHAM
70,WANDERERS,SOUTHALL,0.0,0.0,FIRST ROUND PROPER,1874,01.01.01,False,False,16107,5.0,,WANDERERS,SOUTHALL
98,CIVIL SERVICE,HARROW CHEQUERS,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16129,5.0,,HARROW CHEQUERS,CIVIL SERVICE
100,SHROPSHIRE WANDERERS,SHEFFIELD,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16137,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
101,WINDSOR HOME PARK,UXBRIDGE,0.0,0.0,FIRST ROUND PROPER,1875,01.01.01,False,False,16141,5.0,,WINDSOR HOME PARK,UXBRIDGE
114,OXFORD UNIVERSITY,WINDSOR HOME PARK,0.0,0.0,SECOND ROUND PROPER,1875,01.01.01,False,False,16150,4.0,,WINDSOR HOME PARK,OXFORD UNIVERSITY
131,CAMBRIDGE UNIVERSITY,CIVIL SERVICE,0.0,0.0,FIRST ROUND PROPER,1876,01.01.01,False,False,16166,5.0,,CIVIL SERVICE,CAMBRIDGE UNIVERSITY
132,CLAPHAM ROVERS,HITCHIN,0.0,0.0,FIRST ROUND PROPER,1876,01.01.01,False,False,16167,5.0,,HITCHIN,CLAPHAM ROVERS
133,LEYTON,HARROW CHEQUERS,0.0,0.0,FIRST ROUND PROPER,1876,01.01.01,False,False,16169,5.0,,LEYTON,HARROW CHEQUERS
134,SHEFFIELD,SHROPSHIRE WANDERERS,0.0,0.0,FIRST ROUND PROPER,1876,01.01.01,False,False,16176,5.0,,SHROPSHIRE WANDERERS,SHEFFIELD
135,SOUTH NORWOOD,CLYDESDALE,0.0,0.0,FIRST ROUND PROPER,1876,01.01.01,False,False,16177,5.0,,SOUTH NORWOOD,CLYDESDALE
142,ROYAL ENGINEERS,PANTHERS,0.0,0.0,SECOND ROUND PROPER,1876,01.01.01,False,False,16186,4.0,,ROYAL ENGINEERS,PANTHERS
143,SHEFFIELD,UPTON PARK,0.0,0.0,SECOND ROUND PROPER,1876,01.01.01,False,False,16187,4.0,,UPTON PARK,SHEFFIELD
171,BARNES,OLD ETONIANS,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16199,6.0,,OLD ETONIANS,BARNES
172,CAMBRIDGE UNIVERSITY,HIGH WYCOMBE,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16200,6.0,,HIGH WYCOMBE,CAMBRIDGE UNIVERSITY
173,OXFORD UNIVERSITY,OLD SALOPIANS,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16204,6.0,,OXFORD UNIVERSITY,OLD SALOPIANS
175,SHEFFIELD,TROJANS,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16210,6.0,,TROJANS,SHEFFIELD
176,SHROPSHIRE WANDERERS,DRUIDS,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16211,6.0,,SHROPSHIRE WANDERERS,DRUIDS
177,SOUTHALL,OLD WYKEHAMISTS,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16213,6.0,,SOUTHALL,OLD WYKEHAMISTS
178,WANDERERS,SAFFRON WALDEN TOWN,0.0,0.0,FIRST ROUND PROPER,1877,01.01.01,False,False,16216,6.0,,WANDERERS,SAFFRON WALDEN TOWN
184,OXFORD UNIVERSITY,QUEEN'S PARK (GLASGOW),0.0,0.0,THIRD ROUND PROPER,1877,01.01.01,False,False,16228,4.0,,QUEEN'S PARK (GLASGOW),OXFORD UNIVERSITY
199,DRUIDS,QUEEN'S PARK (GLASGOW),0.0,0.0,SECOND ROUND PROPER,1878,01.01.01,False,False,16267,5.0,,QUEEN'S PARK (GLASGOW),DRUIDS
227,BARNES,ST MARK'S,0.0,0.0,FIRST ROUND PROPER,1878,01.01.01,False,False,16242,6.0,,ST MARK'S,BARNES
228,OLD FORESTERS,OLD WYKEHAMISTS,0.0,0.0,FIRST ROUND PROPER,1878,01.01.01,False,False,16252,6.0,,OLD WYKEHAMISTS,OLD FORESTERS
230,ROYAL ENGINEERS,HIGHBURY UNION,0.0,0.0,FIRST ROUND PROPER,1878,01.01.01,False,False,16258,6.0,,ROYAL ENGINEERS,HIGHBURY UNION
263,CLAPHAM ROVERS,FINCHLEY,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16295,6.0,,FINCHLEY,CLAPHAM ROVERS
264,DARWEN,BIRCH,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16296,6.0,,DARWEN,BIRCH
266,MINERVA,105TH REGIMENT,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16300,6.0,,MINERVA,105TH REGIMENT
267,PANTHERS,RUNNYMEDE,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16304,6.0,,RUNNYMEDE,PANTHERS
268,REMNANTS,UNITY,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16306,6.0,,UNITY,REMNANTS
269,SOUTH NORWOOD,LEYTON,0.0,0.0,FIRST ROUND PROPER,1879,01.01.01,False,False,16310,6.0,,SOUTH NORWOOD,LEYTON
296,OXFORD UNIVERSITY,ASTON VILLA,0.0,0.0,THIRD ROUND PROPER,1880,01.01.01,False,False,16398,5.0,,OXFORD UNIVERSITY,ASTON VILLA
330,BIRMINGHAM,PANTHERS,0.0,0.0,FIRST ROUND PROPER,1880,01.01.01,False,False,16344,7.0,,PANTHERS,BIRMINGHAM
331,HENLEY,READING,0.0,0.0,FIRST ROUND PROPER,1880,01.01.01,False,False,16352,7.0,,READING,HENLEY
