round_id,round_name,year_id,year,stage
11291,Second Round Proper,71291,1933,8
11286,First Round Proper,71291,1933,7
11287,Fourth Qualifying Round,71291,1933,6
11294,Third Qualifying Round,71291,1933,5
11290,Second Qualifying Round,71291,1933,4
11285,First Qualifying Round,71291,1933,3
11289,Preliminary Round,71291,1933,2
11282,Extra Preliminary Round,71291,1933,1
11376,Semi-Final,71297,1939,13
11377,Sixth Round Proper,71297,1939,12
11367,Fifth Round Proper,71297,1939,11
11372,Fourth Round Proper,71297,1939,10
11379,Third Round Proper,71297,1939,9
11375,Second Round Proper,71297,1939,8
11370,First Round Proper,71297,1939,7
11371,Fourth Qualifying Round,71297,1939,6
11378,Third Qualifying Round,71297,1939,5
11374,Second Qualifying Round,71297,1939,4
11369,First Qualifying Round,71297,1939,3
11373,Preliminary Round,71297,1939,2
11366,Extra Preliminary Round,71297,1939,1
11306,Semi-Final,71292,1934,13
11307,Sixth Round Proper,71292,1934,12
11297,Fifth Round Proper,71292,1934,11
11302,Fourth Round Proper,71292,1934,10
11309,Third Round Proper,71292,1934,9
11305,Second Round Proper,71292,1934,8
11300,First Round Proper,71292,1934,7
11301,Fourth Qualifying Round,71292,1934,6
11308,Third Qualifying Round,71292,1934,5
11304,Second Qualifying Round,71292,1934,4
11299,First Qualifying Round,71292,1934,3
11303,Preliminary Round,71292,1934,2
11296,Extra Preliminary Round,71292,1934,1
11729,Semi-Final,71325,1972,12
11730,Sixth Round Proper,71325,1972,11
11720,Fifth Round Proper,71325,1972,10
11725,Fourth Round Proper,71325,1972,9
11732,Third Round Proper,71325,1972,8
11728,Second Round Proper,71325,1972,7
11723,First Round Proper,71325,1972,6
11724,Fourth Qualifying Round,71325,1972,5
11731,Third Qualifying Round,71325,1972,4
11727,Second Qualifying Round,71325,1972,3
11722,First Qualifying Round,71325,1972,2
11726,Preliminary Round,71325,1972,1
11320,Semi-Final,71293,1935,13
11321,Sixth Round Proper,71293,1935,12
11311,Fifth Round Proper,71293,1935,11
11316,Fourth Round Proper,71293,1935,10
11323,Third Round Proper,71293,1935,9
11319,Second Round Proper,71293,1935,8
11314,First Round Proper,71293,1935,7
11315,Fourth Qualifying Round,71293,1935,6
11322,Third Qualifying Round,71293,1935,5
11318,Second Qualifying Round,71293,1935,4
11313,First Qualifying Round,71293,1935,3
11317,Preliminary Round,71293,1935,2
11310,Extra Preliminary Round,71293,1935,1
11348,Semi-Final,71295,1937,13
11349,Sixth Round Proper,71295,1937,12
11339,Fifth Round Proper,71295,1937,11
11344,Fourth Round Proper,71295,1937,10
11351,Third Round Proper,71295,1937,9
11347,Second Round Proper,71295,1937,8
11342,First Round Proper,71295,1937,7
11343,Fourth Qualifying Round,71295,1937,6
11350,Third Qualifying Round,71295,1937,5
11346,Second Qualifying Round,71295,1937,4
11341,First Qualifying Round,71295,1937,3
11345,Preliminary Round,71295,1937,2
