home_team,away_team,round,year,replay,match_id,winner
SOUTH SHORE,QUEEN'S PARK (GLASGOW),SECOND ROUND PROPER,1886,FALSE,17078,BYE
DARLINGTON,WALSALL SWIFTS,FIRST ROUND PROPER,1886,FALSE,16984,BYE
MIDDLESBROUGH,HORNCASTLE,FIRST ROUND PROPER,1886,FALSE,17006,BYE
OLD ETONIANS,BOURNEMOUTH ROVERS,FIRST ROUND PROPER,1886,FALSE,17012,BYE
OLD HARROVIANS,ST JAMES,FIRST ROUND PROPER,1886,FALSE,17013,BYE
PADIHAM,HEART OF MIDLOTHIAN,FIRST ROUND PROPER,1886,FALSE,17017,BYE
PRESTON NORTH END,GREAT LEVER,FIRST ROUND PROPER,1886,FALSE,17018,BYE
RAWTENSTALL,RANGERS (GLASGOW),FIRST ROUND PROPER,1886,FALSE,17020,BYE
STAVELEY,MEXBOROUGH,FIRST ROUND PROPER,1886,TRUE,17045,BYE
BURNLEY,ASTLEY BRIDGE,FIRST ROUND PROPER,1887,TRUE,17202,BYE
FLEETWOOD RANGERS,NEWTON HEATH,FIRST ROUND PROPER,1887,FALSE,17164,BYE
BLACKBURN ROVERS,HALLIWELL,FIRST ROUND PROPER,1887,FALSE,17147,BYE
CHATHAM,BOURNEMOUTH ROVERS,FIRST ROUND PROPER,1887,FALSE,17154,BYE
OLD FORESTERS,CANNON,FIRST ROUND PROPER,1887,FALSE,17177,BYE
RANGERS (GLASGOW),EVERTON,FIRST ROUND PROPER,1887,FALSE,17182,BYE
CHIRK,GOLDENHILL,THIRD ROUND PROPER,1887,TRUE,17271,BYE
OLD CARTHUSIANS,LONDON CALEDONIANS,THIRD ROUND PROPER,1887,TRUE,17273,BYE
DARWEN,ASTLEY BRIDGE,SECOND ROUND PROPER,1887,FALSE,17217,BYE
NOTTS COUNTY,BASFORD ROVERS,SECOND ROUND PROPER,1888,FALSE,17428,BYE
BLACKBURN ROVERS,BURY,FIRST ROUND PROPER,1888,FALSE,17316,BYE
CHURCH,CLIFTONVILLE,FIRST ROUND PROPER,1888,FALSE,17325,BYE
MILLWALL ROVERS,CASUALS,FIRST ROUND PROPER,1888,FALSE,17351,BYE
SOUTH SHORE,DENTON,FIRST ROUND PROPER,1888,FALSE,17375,BYE
BLACKBURN ROVERS,SWIFTS,SECOND ROUND PROPER,1889,FALSE,17656,BYE
NOTTINGHAM FOREST,LINFIELD ATHLETIC,FIRST ROUND PROPER,1889,TRUE,17653,BYE
WEST BROMWICH ALBION,OLD WESTMINSTERS,FIRST ROUND PROPER,1891,FALSE,17974,BYE
OXFORD CITY,NEW BRIGHTON TOWER,INTERMEDIATE ROUND,1902,FALSE,20565,BYE
BURTON TOWN,WIGAN BOROUGH,FIRST ROUND PROPER,1932,FALSE,34538,BYE
MANCHESTER UNITED,SOUTHAMPTON,FOURTH ROUND PROPER,1992,TRUE,66317,SOUTHAMPTON
LIVERPOOL,PORTSMOUTH,SEMI-FINAL,1992,TRUE,66340,LIVERPOOL
EXETER CITY,COLCHESTER UNITED,FIRST ROUND PROPER,1992,TRUE,66224,EXETER CITY
ROTHERHAM UNITED,SCUNTHORPE UNITED,FIRST ROUND PROPER,1992,TRUE,66231,ROTHERHAM UNITED
NEWCASTLE UNITED,AFC BOURNEMOUTH,THIRD ROUND PROPER,1992,TRUE,66296,AFC BOURNEMOUTH
WIMBLEDON,ASTON VILLA,FOURTH ROUND PROPER,1993,TRUE,67018,WIMBLEDON
SHEFFIELD UNITED,BLACKBURN ROVERS,SIXTH ROUND PROPER,1993,TRUE,67031,SHEFFIELD UNITED
SALISBURY,MARLOW,FIRST ROUND PROPER,1993,TRUE,66923,MARLOW
CHESTERFIELD,MACCLESFIELD TOWN,FIRST ROUND PROPER,1993,TRUE,66917,MACCLESFIELD TOWN
SWANSEA CITY,MAIDSTONE UNITED,FIRST ROUND PROPER,1993,FALSE,66908,BYE
BARNSLEY,LEICESTER CITY,THIRD ROUND PROPER,1993,TRUE,66988,BARNSLEY
OXFORD UNITED,SWANSEA CITY,THIRD ROUND PROPER,1993,TRUE,66995,SWANSEA CITY
MARINE,STALYBRIDGE CELTIC,FIRST ROUND PROPER,1994,TRUE,67593,STALYBRIDGE CELTIC
TOTTENHAM HOTSPUR,PETERBOROUGH UNITED,THIRD ROUND PROPER,1994,TRUE,67665,TOTTENHAM HOTSPUR
EXETER CITY,LEYTON ORIENT,SECOND ROUND PROPER,1994,TRUE,67620,EXETER CITY
SCUNTHORPE UNITED,WALSALL,SECOND ROUND PROPER,1994,TRUE,67622,SCUNTHORPE UNITED
LIVERPOOL,BIRMINGHAM CITY,THIRD ROUND PROPER,1995,TRUE,68359,LIVERPOOL
CHELSEA,MILLWALL,FOURTH ROUND PROPER,1995,TRUE,68382,MILLWALL
WOLVERHAMPTON WANDERERS,SHEFFIELD WEDNESDAY,FOURTH ROUND PROPER,1995,TRUE,68386,WOLVERHAMPTON WANDERERS
BURY,BISHOP AUCKLAND,FIRST ROUND PROPER,1995,TRUE,68287,BURY
NEWCASTLE UNITED,CHELSEA,THIRD ROUND PROPER,1996,TRUE,69084,CHELSEA
BRIGHTON & HOVE ALBION,FULHAM,SECOND ROUND PROPER,1996,TRUE,69044,FULHAM
SUTTON UNITED,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,1996,TRUE,69020,SUTTON UNITED
WREXHAM,HULL CITY,FIRST ROUND PROPER,1996,TRUE,69023,WREXHAM
TOTTENHAM HOTSPUR,NOTTINGHAM FOREST,FIFTH ROUND PROPER,1996,TRUE,69130,NOTTINGHAM FOREST
BURNLEY,WALSALL,SECOND ROUND PROPER,1997,TRUE,69759,BURNLEY
BRIGHTON & HOVE ALBION,SUDBURY TOWN,FIRST ROUND PROPER,1997,TRUE,69727,SUDBURY TOWN
DAGENHAM & REDBRIDGE,ASHFORD TOWN,FIRST ROUND PROPER,1997,TRUE,69730,ASHFORD TOWN
SHEFFIELD UNITED,COVENTRY CITY,SIXTH ROUND PROPER,1998,TRUE,70525,SHEFFIELD UNITED
