year,pos,league,team,round,stage
1974,5,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1974,6,NORTHERN PREMIER LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1974,7,NORTHERN PREMIER LEAGUE,RUNCORN,FIRST ROUND PROPER,8.0
1974,2,SOUTHERN LEAGUE - PREMIER DIVISION,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1974,3,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1974,7,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1974,12,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1974,13,SOUTHERN LEAGUE - PREMIER DIVISION,TELFORD UNITED,FIRST ROUND PROPER,8.0
1974,18,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8.0
1974,22,SOUTHERN LEAGUE - PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1974,8,SOUTHERN LEAGUE - FIRST DIVISION NORTH,BANBURY UNITED,FIRST ROUND PROPER,8.0
1974,9,SOUTHERN LEAGUE - FIRST DIVISION NORTH,KING'S LYNN,FIRST ROUND PROPER,8.0
1974,5,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,BIDEFORD,FIRST ROUND PROPER,8.0
1974,1,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,ALVECHURCH,FIRST ROUND PROPER,8.0
1975,5,CHESHIRE COUNTY LEAGUE,MARINE,FIRST ROUND PROPER,8.0
1975,10,CHESHIRE COUNTY LEAGUE,OSWESTRY TOWN,FIRST ROUND PROPER,8.0
1975,1,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1975,4,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1975,6,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,LEATHERHEAD,FIRST ROUND PROPER,8.0
1975,7,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,ILFORD,FIRST ROUND PROPER,8.0
1975,9,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1975,11,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1975,12,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1975,1,ROTHMAN'S NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1975,3,ROTHMAN'S NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1975,3,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1975,4,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1975,7,NORTHERN PREMIER LEAGUE,GATESHEAD UNITED,FIRST ROUND PROPER,8.0
1975,11,NORTHERN PREMIER LEAGUE,MATLOCK TOWN,FIRST ROUND PROPER,8.0
1975,12,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1975,1,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1975,4,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1975,6,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8.0
1975,10,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1975,13,SOUTHERN LEAGUE - PREMIER DIVISION,MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1975,15,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1975,19,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8.0
1975,20,SOUTHERN LEAGUE - PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1975,3,SOUTHERN LEAGUE - FIRST DIVISION NORTH,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1975,6,SOUTHERN LEAGUE - FIRST DIVISION NORTH,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1975,7,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,ASHFORD TOWN,FIRST ROUND PROPER,8.0
1975,4,YORKSHIRE LEAGUE - FIRST DIVISION,FARSLEY CELTIC,FIRST ROUND PROPER,8.0
1976,1,CHESHIRE COUNTY LEAGUE,MARINE,FIRST ROUND PROPER,8.0
1976,4,CHESHIRE COUNTY LEAGUE,WINSFORD UNITED,FIRST ROUND PROPER,8.0
1976,11,CHESHIRE COUNTY LEAGUE,ROSSENDALE UNITED,FIRST ROUND PROPER,8.0
1976,2,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1976,6,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,HENDON,FIRST ROUND PROPER,8.0
1976,7,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1976,8,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,LEATHERHEAD,FIRST ROUND PROPER,8.0
1976,11,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,SUTTON UNITED,FIRST ROUND PROPER,8.0
1976,12,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 1,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1976,14,ROTHMAN'S ISTHMIAN LEAGUE - DIVISION 2,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1976,3,ROTHMAN'S NORTHERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1976,2,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1976,3,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1976,4,NORTHERN PREMIER LEAGUE,MATLOCK TOWN,FIRST ROUND PROPER,8.0
1976,5,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1976,16,NORTHERN PREMIER LEAGUE,GATESHEAD UNITED,FIRST ROUND PROPER,8.0
1976,1,SOUTHERN LEAGUE - PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1976,2,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1976,7,SOUTHERN LEAGUE - PREMIER DIVISION,GRANTHAM TOWN,FIRST ROUND PROPER,8.0
1976,9,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1976,17,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1976,18,SOUTHERN LEAGUE - PREMIER DIVISION,DOVER,FIRST ROUND PROPER,8.0
1976,19,SOUTHERN LEAGUE - PREMIER DIVISION,WEALDSTONE,FIRST ROUND PROPER,8.0
1976,2,SOUTHERN LEAGUE - FIRST DIVISION NORTH,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1976,2,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,DARTFORD,FIRST ROUND PROPER,8.0
1976,3,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,ROMFORD,FIRST ROUND PROPER,8.0
1976,10,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,COVENTRY SPORTING,FIRST ROUND PROPER,8.0
1977,16,CHESHIRE LEAGUE,DROYLSDEN,FIRST ROUND PROPER,8.0
1977,1,ISTHMIAN LEAGUE - DIVISION 1,ENFIELD,FIRST ROUND PROPER,8.0
1977,2,ISTHMIAN LEAGUE - DIVISION 1,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1977,6,ISTHMIAN LEAGUE - DIVISION 1,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1977,9,ISTHMIAN LEAGUE - DIVISION 1,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1977,10,ISTHMIAN LEAGUE - DIVISION 1,LEATHERHEAD,FIRST ROUND PROPER,8.0
1977,19,ISTHMIAN LEAGUE - DIVISION 1,WOKING,FIRST ROUND PROPER,8.0
1977,3,ISTHMIAN LEAGUE - DIVISION 2,HARWICH & PARKESTON,FIRST ROUND PROPER,8.0
1977,7,ISTHMIAN LEAGUE - DIVISION 2,BROMLEY,FIRST ROUND PROPER,8.0
1977,12,ISTHMIAN LEAGUE - DIVISION 2,CHESHAM UNITED,FIRST ROUND PROPER,8.0
1977,7,MIDLAND COUNTIES LEAGUE,BOSTON,FIRST ROUND PROPER,8.0
1977,4,ROTHMAN'S NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1977,2,NORTHERN PREMIER LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1977,3,NORTHERN PREMIER LEAGUE,MATLOCK TOWN,FIRST ROUND PROPER,8.0
1977,5,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1977,6,NORTHERN PREMIER LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1977,8,NORTHERN PREMIER LEAGUE,GATESHEAD UNITED,FIRST ROUND PROPER,8.0
1977,10,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1977,11,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1977,21,NORTHERN PREMIER LEAGUE,BARROW,FIRST ROUND PROPER,8.0
1977,1,SOUTHERN LEAGUE PREMIER DIVISION,WIMBLEDON,FIRST ROUND PROPER,8.0
1977,2,SOUTHERN LEAGUE PREMIER DIVISION,MINEHEAD,FIRST ROUND PROPER,8.0
1977,3,SOUTHERN LEAGUE PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1977,14,SOUTHERN LEAGUE PREMIER DIVISION,WEALDSTONE,FIRST ROUND PROPER,8.0
1977,15,SOUTHERN LEAGUE PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1977,17,SOUTHERN LEAGUE PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1977,18,SOUTHERN LEAGUE PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1977,3,SOUTHERN LEAGUE - FIRST DIVISION SOUTH,WATERLOOVILLE,FIRST ROUND PROPER,8.0
1977,5,WEST MIDLANDS (REGIONAL) LEAGUE - PREMIER DIVISION,DUDLEY TOWN,FIRST ROUND PROPER,8.0
1978,14,CHESHIRE COUNTY FOOTBALL LEAGUE,BURSCOUGH,FIRST ROUND PROPER,8.0
1978,1,MAGNET & PLANET EASTERN LEAGUE,LOWESTOFT TOWN,FIRST ROUND PROPER,8.0
1978,1,ISTHMIAN LEAGUE PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8.0
1978,2,ISTHMIAN LEAGUE PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1978,3,ISTHMIAN LEAGUE PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1978,4,ISTHMIAN LEAGUE PREMIER DIVISION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1978,7,ISTHMIAN LEAGUE PREMIER DIVISION,LEATHERHEAD,FIRST ROUND PROPER,8.0
1978,13,ISTHMIAN LEAGUE PREMIER DIVISION,HENDON,FIRST ROUND PROPER,8.0
1978,15,ISTHMIAN LEAGUE PREMIER DIVISION,BOREHAM WOOD,FIRST ROUND PROPER,8.0
1978,18,ISTHMIAN LEAGUE PREMIER DIVISION,TILBURY,FIRST ROUND PROPER,8.0
1978,10,MIDLAND COUNTIES LEAGUE,ARNOLD,FIRST ROUND PROPER,8.0
1978,1,NORTHERN LEAGUE,SPENNYMOOR UNITED,FIRST ROUND PROPER,8.0
1978,2,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1978,2,NORTHERN PREMIER LEAGUE,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1978,4,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1978,7,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1978,8,NORTHERN PREMIER LEAGUE,RUNCORN,FIRST ROUND PROPER,8.0
1978,9,NORTHERN PREMIER LEAGUE,MOSSLEY,FIRST ROUND PROPER,8.0
1978,14,NORTHERN PREMIER LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1978,19,NORTHERN PREMIER LEAGUE,WORKINGTON,FIRST ROUND PROPER,8.0
1978,1,SOUTHERN LEAGUE PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8.0
1978,2,SOUTHERN LEAGUE PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1978,6,SOUTHERN LEAGUE PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8.0
1978,7,SOUTHERN LEAGUE PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1978,8,SOUTHERN LEAGUE PREMIER DIVISION,WEALDSTONE,FIRST ROUND PROPER,8.0
1978,18,SOUTHERN LEAGUE PREMIER DIVISION,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1978,19,SOUTHERN LEAGUE PREMIER DIVISION,MINEHEAD,FIRST ROUND PROPER,8.0
1978,3,SOUTHERN LEAGUE PREMIER DIVISION 1 MIDLAND,BURTON ALBION,FIRST ROUND PROPER,8.0
1978,4,SOUTHERN LEAGUE PREMIER DIVISION 1 MIDLAND,ENDERBY TOWN,FIRST ROUND PROPER,8.0
1978,9,SOUTHERN LEAGUE PREMIER DIVISION 1 SOUTH,FOLKESTONE & SHEPWAY,FIRST ROUND PROPER,8.0
1978,2,ROTHMAN'S WESTERN LEAGUE - PREMIER DIVISION,BIDEFORD,FIRST ROUND PROPER,8.0
1979,7,CHESHIRE COUNTY FOOTBALL LEAGUE - DIVISION 1,CHORLEY,FIRST ROUND PROPER,8.0
1979,10,CHESHIRE COUNTY FOOTBALL LEAGUE - DIVISION 1,DROYLSDEN,FIRST ROUND PROPER,8.0
1979,11,TOWN & COUNTRY FOOTBALL LEAGUE (EASTERN COUNTIES),MARCH TOWN UNITED,FIRST ROUND PROPER,8.0
1979,1,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,BARKING,FIRST ROUND PROPER,8.0
1979,2,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1979,3,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8.0
1979,6,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1979,7,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,WOKING,FIRST ROUND PROPER,8.0
1979,10,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,LEATHERHEAD,FIRST ROUND PROPER,8.0
1979,16,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1979,4,NORTHERN FOOTBALL LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1979,2,NORTHERN PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1979,4,NORTHERN PREMIER LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1979,5,NORTHERN PREMIER LEAGUE,SOUTHPORT,FIRST ROUND PROPER,8.0
1979,6,NORTHERN PREMIER LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1979,7,NORTHERN PREMIER LEAGUE,RUNCORN,FIRST ROUND PROPER,8.0
1979,8,NORTHERN PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1979,13,NORTHERN PREMIER LEAGUE,WORKSOP TOWN,FIRST ROUND PROPER,8.0
1979,14,NORTHERN PREMIER LEAGUE,WORKINGTON,FIRST ROUND PROPER,8.0
1979,18,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8.0
1979,1,SOUTHERN LEAGUE - PREMIER DIVISION,WORCESTER CITY,FIRST ROUND PROPER,8.0
1979,4,SOUTHERN LEAGUE - PREMIER DIVISION,MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1979,6,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8.0
1979,7,SOUTHERN LEAGUE - PREMIER DIVISION,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1979,9,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8.0
1979,13,SOUTHERN LEAGUE - PREMIER DIVISION,BARNET,FIRST ROUND PROPER,8.0
1979,14,SOUTHERN LEAGUE - PREMIER DIVISION,HILLINGDON BOROUGH,FIRST ROUND PROPER,8.0
1979,15,SOUTHERN LEAGUE - PREMIER DIVISION,WEALDSTONE,FIRST ROUND PROPER,8.0
1979,17,SOUTHERN LEAGUE - PREMIER DIVISION,DARTFORD,FIRST ROUND PROPER,8.0
1980,5,CHESHIRE COUNTY FOOTBALL LEAGUE - FIRST DIVISION,BURSCOUGH,FIRST ROUND PROPER,8.0
1980,1,ALLIANCE PREMIER LEAGUE,ALTRINCHAM,FIRST ROUND PROPER,8.0
1980,7,ALLIANCE PREMIER LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1980,8,ALLIANCE PREMIER LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1980,15,ALLIANCE PREMIER LEAGUE,WEALDSTONE,FIRST ROUND PROPER,8.0
1980,18,ALLIANCE PREMIER LEAGUE,AP LEAMINGTON,FIRST ROUND PROPER,8.0
1980,19,ALLIANCE PREMIER LEAGUE,STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1980,1,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,ENFIELD,FIRST ROUND PROPER,8.0
1980,7,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,BARKING,FIRST ROUND PROPER,8.0
1980,10,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1980,11,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,HARLOW TOWN,FIRST ROUND PROPER,8.0
1980,14,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1980,20,BERGER ISTHMIAN LEAGUE - PREMIER DIVISION,CROYDON,FIRST ROUND PROPER,8.0
1980,1,BERGER ISTHMIAN LEAGUE - FIRST DIVISION,LEYTONSTONE/ILFORD,FIRST ROUND PROPER,8.0
1980,6,BERGER ISTHMIAN LEAGUE - FIRST DIVISION,CHESHAM UNITED,FIRST ROUND PROPER,8.0
1980,3,BERGER ISTHMIAN LEAGUE - SECOND DIVISION,HUNGERFORD TOWN,FIRST ROUND PROPER,8.0
1980,4,NORTHERN ALLIANCE,BRANDON UNITED,FIRST ROUND PROPER,8.0
1980,1,DRYBOROUGH'S NORTHERN FOOTBALL LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1980,1,NORTHERN PREMIER LEAGUE,MOSSLEY,FIRST ROUND PROPER,8.0
1980,4,NORTHERN PREMIER LEAGUE,BURTON ALBION,FIRST ROUND PROPER,8.0
1980,17,NORTHERN PREMIER LEAGUE,MORECAMBE,FIRST ROUND PROPER,8.0
1980,21,NORTHERN PREMIER LEAGUE,WORKINGTON,FIRST ROUND PROPER,8.0
1980,2,SOUTHERN FOOTBALL LEAGUE - MIDLAND DIVISION,MINEHEAD,FIRST ROUND PROPER,8.0
1980,4,SOUTHERN FOOTBALL LEAGUE - MIDLAND DIVISION,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1980,11,SOUTHERN FOOTBALL LEAGUE - SOUTHEN DIVISION,FAREHAM TOWN,FIRST ROUND PROPER,8.0
1980,23,SOUTHERN FOOTBALL LEAGUE - SOUTHEN DIVISION,SALISBURY,FIRST ROUND PROPER,8.0
1981,1,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1981,2,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1981,4,CONFERENCE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1981,5,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEYMOUTH,FIRST ROUND PROPER,8.0
1981,7,CONFERENCE (ALLIANCE PREMIER LEAGUE),MAIDSTONE UNITED,FIRST ROUND PROPER,8.0
1981,11,CONFERENCE (ALLIANCE PREMIER LEAGUE),STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1981,17,CONFERENCE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8.0
1981,1,ATHENIAN LEAGUE,WINDSOR & ETON,FIRST ROUND PROPER,8.0
1981,14,CHESHIRE LEAGUE DIVISION 1,FLEETWOOD TOWN,FIRST ROUND PROPER,8.0
1981,16,CHESHIRE LEAGUE DIVISION 1,BURSCOUGH,FIRST ROUND PROPER,8.0
1981,4,ISTHMIAN LEAGUE DIVISION 1,FARNBOROUGH,FIRST ROUND PROPER,8.0
1981,5,ISTHMIAN LEAGUE DIVISION 1,ST ALBANS CITY,FIRST ROUND PROPER,8.0
1981,17,ISTHMIAN LEAGUE DIVISION 1,WEMBLEY,FIRST ROUND PROPER,8.0
1981,4,ISTHMIAN LEAGUE DIVISION 2,BARTON ROVERS,FIRST ROUND PROPER,8.0
1981,3,ISTHMIAN LEAGUE PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1981,8,ISTHMIAN LEAGUE PREMIER DIVISION,DAGENHAM,FIRST ROUND PROPER,8.0
1981,16,ISTHMIAN LEAGUE PREMIER DIVISION,LEATHERHEAD,FIRST ROUND PROPER,8.0
1981,19,ISTHMIAN LEAGUE PREMIER DIVISION,HARLOW TOWN,FIRST ROUND PROPER,8.0
1981,1,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1981,2,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MOSSLEY,FIRST ROUND PROPER,8.0
1981,6,NORTHERN PREMIER LEAGUE PREMIER DIVISION,BURTON ALBION,FIRST ROUND PROPER,8.0
1981,10,NORTHERN PREMIER LEAGUE PREMIER DIVISION,WORKINGTON,FIRST ROUND PROPER,8.0
1981,11,NORTHERN PREMIER LEAGUE PREMIER DIVISION,GATESHEAD,FIRST ROUND PROPER,8.0
1981,4,SOUTHERN LEAGUE DIVISION 1 MIDLAND,KIDDERMINSTER HARRIERS,FIRST ROUND PROPER,8.0
1981,12,SOUTHERN LEAGUE DIVISION 1 MIDLAND,MINEHEAD,FIRST ROUND PROPER,8.0
1981,9,SOUTHERN LEAGUE DIVISION 1 SOUTH,ADDLESTONE & WEYBRIDGE T,FIRST ROUND PROPER,8.0
1981,9,WEST MIDLAND LEAGUE PREMIER DIVISION,SUTTON COLDFIELD TOWN,FIRST ROUND PROPER,8.0
1982,9,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEYMOUTH,FIRST ROUND PROPER,8.0
1982,11,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1982,13,CONFERENCE (ALLIANCE PREMIER LEAGUE),YEOVIL TOWN,FIRST ROUND PROPER,8.0
1982,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),STAFFORD RANGERS,FIRST ROUND PROPER,8.0
1982,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1982,1,NORTHERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1982,7,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1982,12,NORTHERN LEAGUE,HORDEN CW,FIRST ROUND PROPER,8.0
1982,15,NORTHERN LEAGUE,PENRITH,FIRST ROUND PROPER,8.0
1982,2,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MOSSLEY,FIRST ROUND PROPER,8.0
1982,11,NORTHERN PREMIER LEAGUE PREMIER DIVISION,WORKINGTON,FIRST ROUND PROPER,8.0
1982,15,SOUTHERN LEAGUE DIVISION 1 MIDLAND,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1982,19,SOUTHERN LEAGUE DIVISION 1 MIDLAND,MINEHEAD,FIRST ROUND PROPER,8.0
1982,3,SOUTHERN LEAGUE DIVISION 1 SOUTH,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1982,1,WESTERN LEAGUE,BIDEFORD,FIRST ROUND PROPER,8.0
1983,3,CONFERENCE (ALLIANCE PREMIER LEAGUE),WEALDSTONE,FIRST ROUND PROPER,8.0
1983,6,CONFERENCE (ALLIANCE PREMIER LEAGUE),TELFORD UNITED,FIRST ROUND PROPER,8.0
1983,8,CONFERENCE (ALLIANCE PREMIER LEAGUE),NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1983,12,CONFERENCE (ALLIANCE PREMIER LEAGUE),ALTRINCHAM,FIRST ROUND PROPER,8.0
1983,14,CONFERENCE (ALLIANCE PREMIER LEAGUE),DAGENHAM,FIRST ROUND PROPER,8.0
1983,15,CONFERENCE (ALLIANCE PREMIER LEAGUE),BARNET,FIRST ROUND PROPER,8.0
1983,17,CONFERENCE (ALLIANCE PREMIER LEAGUE),WORCESTER CITY,FIRST ROUND PROPER,8.0
1983,19,CONFERENCE (ALLIANCE PREMIER LEAGUE),KETTERING TOWN,FIRST ROUND PROPER,8.0
1983,1,ISTHMIAN LEAGUE DIVISION 1,WORTHING,FIRST ROUND PROPER,8.0
1983,15,ISTHMIAN LEAGUE DIVISION 1,CHESHAM UNITED,FIRST ROUND PROPER,8.0
1983,2,ISTHMIAN LEAGUE DIVISION 2,WINDSOR & ETON,FIRST ROUND PROPER,8.0
1983,1,ISTHMIAN LEAGUE PREMIER DIVISION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1983,7,ISTHMIAN LEAGUE PREMIER DIVISION,SLOUGH TOWN,FIRST ROUND PROPER,8.0
1983,13,ISTHMIAN LEAGUE PREMIER DIVISION,BISHOP'S STORTFORD,FIRST ROUND PROPER,8.0
1983,16,ISTHMIAN LEAGUE PREMIER DIVISION,CARSHALTON ATHLETIC,FIRST ROUND PROPER,8.0
1983,17,ISTHMIAN LEAGUE PREMIER DIVISION,WOKINGHAM TOWN,FIRST ROUND PROPER,8.0
1983,1,NORTHERN COUNTIES EAST FOOTBALL LEAGUE PREMIER DIVISION,SHEPSHED CHARTERHOUSE,FIRST ROUND PROPER,8.0
1983,7,NORTHERN LEAGUE,NORTH SHIELDS,FIRST ROUND PROPER,8.0
1983,2,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MOSSLEY,FIRST ROUND PROPER,8.0
1983,5,NORTHERN PREMIER LEAGUE PREMIER DIVISION,MACCLESFIELD TOWN,FIRST ROUND PROPER,8.0
