year,pos,league,team,round,stage
1957,8,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1957,7,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1957,3,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1958,14,ATHENIAN LEAGUE,REDHILL,FIRST ROUND PROPER,8.0
1958,16,ATHENIAN LEAGUE,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1958,1,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 2,OSWESTRY TOWN,FIRST ROUND PROPER,8.0
1958,9,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1958,10,CHESHIRE COUNTY LEAGUE,WITTON ALBION,FIRST ROUND PROPER,8.0
1958,3,EASTERN COUNTIES LEAGUE,SPALDING UNITED,FIRST ROUND PROPER,8.0
1958,2,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1958,3,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1958,12,ISTHMIAN LEAGUE - SENIOR SECTION,CLAPTON,FIRST ROUND PROPER,8.0
1958,2,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1958,2,LANCASHIRE COMBINATION - DIVISION 1,PRESCOT CABLES,FIRST ROUND PROPER,8.0
1958,4,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1958,2,MIDLAND COUNTIES LEAGUE,WISBECH TOWN,FIRST ROUND PROPER,8.0
1958,3,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1958,7,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1958,17,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1958,1,NORTH-EASTERN LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1958,3,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1958,4,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1958,6,NORTHERN LEAGUE,DURHAM CITY,FIRST ROUND PROPER,8.0
1958,10,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1958,5,SOUTHERN LEAGUE,WORCESTER CITY,FIRST ROUND PROPER,8.0
1958,7,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1958,16,SOUTHERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8.0
1958,3,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1958,5,WESTERN LEAGUE - DIVISION 1,TROWBRIDGE TOWN,FIRST ROUND PROPER,8.0
1959,14,ATHENIAN LEAGUE,HITCHIN TOWN,FIRST ROUND PROPER,8.0
1959,4,CENTRAL ALLIANCE - DIVISION 1 NORTH,HEANOR TOWN,FIRST ROUND PROPER,8.0
1959,7,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1959,9,CHESHIRE COUNTY LEAGUE,BUXTON,FIRST ROUND PROPER,8.0
1959,3,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
