year,pos,league,team,round,stage,match1,match2,match3
1974.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('EASTBOURNE TOWN TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('CHIPPING NORTON TOWN', 86)"
1975.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('STONY STRATFORD TOWN', 86)","('LYE TOWN', 86)"
1975.0,,,SOUTHWICK,FIRST ROUND PROPER,8.0,"('SOUTH BANK', 63)","('SOUTH LIVERPOOL', 60)","('NORTHWICH VICTORIA', 60)"
1976.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('LYE TOWN', 86)","('TAUNTON TOWN', 80)"
1977.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1978.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('SUTTON [COLDFIELD] TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1979.0,,,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0,"('TOOTING & MITCHAM UNITED', 86)","('RYE UNITED', 86)","('BOSTON UNITED', 69)"
1979.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('GREAT YARMOUTH TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('SAFFRON WALDEN TOWN', 86)"
1979.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('MEXBOROUGH TOWN ATHLETIC', 86)"
1980.0,,,EBBSFLEET UNITED,FIRST ROUND PROPER,8.0,"('ASH UNITED', 86)","('GODALMING AND FARNCOMBE UNITED', 86)","('TOOTING & MITCHAM UNITED', 86)"
1980.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('CASTLE DONINGTON TOWN', 86)","('SOHAM TOWN RANGERS', 86)","('SAFFRON WALDEN TOWN', 86)"
1980.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CASTLE DONINGTON TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('CHESTER-LE-STREET TOWN', 86)"
1980.0,,,SOLIHULL MOORS,FIRST ROUND PROPER,8.0,"('SOLIHULL BOROUGH', 73)","('BULL MOTORS', 72)","('MORRIS', 66)"
1982.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('B A TOWN', 86)","('CHIPPING NORTON TOWN', 86)","('ADDLESTONE & WEYBRIDGE TOWN', 86)"
1984.0,,,GAINSBOROUGH TRINITY,FIRST ROUND PROPER,8.0,"('GAINSBOROUGH UNITED', 82)","('GAINSBOROUGH TOWN', 81)","('GAINSBOROUGH TOWN', 81)"
1985.0,,,BARRY TOWN,FIRST ROUND PROPER,8.0,"('SHERBOURNE TOWN', 86)","('GILLINGHAM TOWN', 86)","('GILLINGHAM TOWN', 86)"
1985.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('FAREHAM TOWN (RESERVES)', 86)","('HARBOROUGH TOWN IMPERIAL', 86)","('I M TOWN', 86)"
1985.0,,,TELFORD UNITED,FIRST ROUND PROPER,8.0,"('TELFORD UTD', 88)","('FORD UNITED', 88)","('FORD UNITED', 88)"
1986.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHESTER-LE-STREET TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)","('BISHOPS WALTHAM TOWN', 86)"
1987.0,,,NUNEATON TOWN,FIRST ROUND PROPER,8.0,"('CHIPPING NORTON TOWN', 86)","('CHESTER-LE-STREET TOWN', 86)","('SUTTON COLDFIELD TOWN', 86)"
1987.0,,,TON PENTRE,FIRST ROUND PROPER,8.0,"('NORTHAMPTON SPENCER', 72)","('THRAPSTON VENTURERS', 72)","('HENLEY TOWN', 64)"
1988.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('WYM TOWN', 86)","('GREAT YARMOUTH TOWN', 86)","('SOHAM TOWN RANGERS', 86)"
1989.0,,,MERTHYR TOWN,FIRST ROUND PROPER,8.0,"('TOWN HALL GREAT YARMOUTH', 86)","('SAWBRIDGEWORTH TOWN', 86)","('WOOTTON BASSETT TOWN', 86)"
