year,pos,league,team,round,stage
1964,13,METROPOLITAN LEAGUE - DIVISION 1,KETTERING TOWN,FIRST ROUND PROPER,8
1964,21,SOUTHERN LEAGUE - PREMIER DIVISION,KETTERING TOWN,FIRST ROUND PROPER,8
1964,17,METROPOLITAN LEAGUE - DIVISION 1,BEXLEY UNITED,FIRST ROUND PROPER,8
1964,16,SOUTH-EAST COUNTIES LEAGUE,BEXLEY UNITED,FIRST ROUND PROPER,8
1964,12,SOUTHERN LEAGUE - PREMIER DIVISION,BEXLEY UNITED,FIRST ROUND PROPER,8
1964,18,METROPOLITAN LEAGUE - DIVISION 1,BEDFORD TOWN,FIRST ROUND PROPER,8
1964,8,SOUTHERN LEAGUE - PREMIER DIVISION,BEDFORD TOWN,FIRST ROUND PROPER,8
1964,1,SOUTHERN LEAGUE - PREMIER DIVISION,YEOVIL TOWN,FIRST ROUND PROPER,8
1964,12,WESTERN LEAGUE,YEOVIL TOWN,FIRST ROUND PROPER,8
1964,3,SOUTHERN LEAGUE - PREMIER DIVISION,BATH CITY,FIRST ROUND PROPER,8
1964,14,WESTERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8
1964,7,SOUTHERN LEAGUE - PREMIER DIVISION,WEYMOUTH,FIRST ROUND PROPER,8
1964,9,WESTERN LEAGUE,WEYMOUTH,FIRST ROUND PROPER,8
1965,4,EASTERN COUNTIES LEAGUE,KING'S LYNN,FIRST ROUND PROPER,8
1965,15,SOUTHERN LEAGUE - PREMIER DIVISION,KING'S LYNN,FIRST ROUND PROPER,8
1965,11,METROPOLITAN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8
1965,5,SOUTHERN LEAGUE - PREMIER DIVISION,CHELMSFORD CITY,FIRST ROUND PROPER,8
1965,15,METROPOLITAN LEAGUE,GUILDFORD CITY,FIRST ROUND PROPER,8
1965,2,SOUTHERN LEAGUE - PREMIER DIVISION,GUILDFORD CITY,FIRST ROUND PROPER,8
1965,16,METROPOLITAN LEAGUE,ROMFORD,FIRST ROUND PROPER,8
1965,14,SOUTHERN LEAGUE - PREMIER DIVISION,ROMFORD,FIRST ROUND PROPER,8
