year,league,tier
1974,ATHENIAN LEAGUE DIVISION 1,7
1974,CHESHIRE COUNTY LEAGUE,7
1974,MIDLAND COUNTIES LEAGUE,7
1974,MIDLAND LEAGUE,7
1974,NORTHERN LEAGUE,6
1974,ROTHMAN'S ISTHMIAN LEAGUE DIVISION 2,6
1974,ROTHMAN'S ISTHMIAN LEAGUE DIVISION ONE,5
1974,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1974,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1974,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1975,CHESHIRE COUNTY LEAGUE,7
1975,ROTHMAN'S ISTHMIAN LEAGUE DIVISION 1,5
1975,ROTHMAN'S NORTHERN LEAGUE,6
1975,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1975,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1975,SOUTHERN PREMIER,5
1975,SUSSEX COUNTY DIVISION 1,7
1975,YORKSHIRE LEAGUE FIRST DIVISION,7
1976,CHESHIRE COUNTY LEAGUE,7
1976,ROTHMAN'S ISTHMIAN LEAGUE DIVISION 1,5
1976,ROTHMAN'S ISTHMIAN LEAGUE DIVISION 2,6
1976,ROTHMAN'S NORTHERN LEAGUE,6
1976,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1976,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1976,SOUTHERN PREMIER,5
1976,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1977,CHESHIRE LEAGUE,7
1977,ISTHMIAN LEAGUE DIVISION 1,5
1977,ISTHMIAN LEAGUE DIVISION 2,6
1977,MIDLAND COUNTIES LEAGUE,7
1977,ROTHMAN'S NORTHERN LEAGUE,6
1977,SOUTHERN LEAGUE FIRST DIVISION SOUTH,6
1977,SOUTHERN PREMIER,5
1977,WEST MIDLANDS (REGIONAL) LEAGUE PREMIER DIVISION,7
1978,CHESHIRE COUNTY FOOTBALL LEAGUE,7
1978,MAGNET & PLANET EASTERN LEAGUE,7
1978,MIDLAND COUNTIES LEAGUE,7
1978,NORTHERN LEAGUE,6
1978,ROTHMAN'S WESTERN LEAGUE PREMIER DIVISION,7
1978,SOUTHERN LEAGUE PREMIER DIVISION 1 MIDLAND,6
1978,SOUTHERN LEAGUE PREMIER DIVISION 1 SOUTH,6
1978,SOUTHERN PREMIER,5
1979,BERGER ISTHMIAN LEAGUE PREMIER DIVISION,5
1979,CHESHIRE COUNTY FOOTBALL LEAGUE DIVISION 1,7
1979,NORTHERN FOOTBALL LEAGUE,6
1979,SOUTHERN LEAGUE FIRST DIVISION NORTH,6
1979,SOUTHERN PREMIER,5
1979,TOWN & COUNTRY FOOTBALL LEAGUE (EASTERN COUNTIES),7
1980,ALLIANCE PREMIER LEAGUE,5
1980,BERGER ISTHMIAN LEAGUE FIRST DIVISION,7
1980,BERGER ISTHMIAN LEAGUE PREMIER DIVISION,6
1980,BERGER ISTHMIAN LEAGUE SECOND DIVISION,8
1980,CHESHIRE COUNTY FOOTBALL LEAGUE FIRST DIVISION,7
1980,DRYBOROUGH'S NORTHERN FOOTBALL LEAGUE,7
1980,MIDLAND FOOTBALL COMBINATION DIVISION ONE,7
1980,NORTHERN ALLIANCE,8
1980,SOUTHERN FOOTBALL LEAGUE MIDLAND DIVISION,6
1980,SOUTHERN FOOTBALL LEAGUE SOUTHEN DIVISION,6
1981,ALLIANCE PREMIER LEAGUE,5
1981,ATHENIAN LEAGUE,7
1981,CHESHIRE LEAGUE DIVISION 1,7
1981,ISTHMIAN LEAGUE DIVISION 1,7
1981,ISTHMIAN LEAGUE DIVISION 2,8
1981,NORTHERN LEAGUE,7
1981,SOUTHERN LEAGUE DIVISION 1 MIDLAND,6
1981,SOUTHERN LEAGUE DIVISION 1 SOUTH,6
1981,WEST MIDLAND LEAGUE PREMIER DIVISION,7
1982,NORTHERN LEAGUE,7
1982,SOUTHERN LEAGUE DIVISION 1 MIDLAND,6
1982,SOUTHERN LEAGUE DIVISION 1 SOUTH,6
1982,SOUTHERN MIDLAND DIVISION,6
1982,WEST MIDLAND LEAGUE PREMIER DIVISION,8
1982,WESTERN LEAGUE,8
1983,ISTHMIAN LEAGUE DIVISION 1,7
