year,pos,league,team,round,stage
1955,6.0,NORTHERN LEAGUE,STANLEY UNITED,FIRST ROUND PROPER,8.0
1955,12.0,SOUTHERN LEAGUE,MERTHYR TOWN,FIRST ROUND PROPER,8.0
1955,15.0,SOUTHERN LEAGUE,KETTERING TOWN,FIRST ROUND PROPER,8.0
1955,18.0,SOUTHERN LEAGUE,BEDFORD TOWN,FIRST ROUND PROPER,8.0
1955,21.0,SOUTHERN LEAGUE,CHELMSFORD CITY,FIRST ROUND PROPER,8.0
1955,1.0,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1955,10.0,WESTERN LEAGUE - DIVISION 1,BARNSTAPLE TOWN,FIRST ROUND PROPER,8.0
1955,2.0,WESTERN LEAGUE - DIVISION 2,FROME TOWN,FIRST ROUND PROPER,8.0
1955,6.0,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1956,1.0,ATHENIAN LEAGUE,HENDON,FIRST ROUND PROPER,8.0
1956,9.0,ATHENIAN LEAGUE,SOUTHALL,FIRST ROUND PROPER,8.0
1956,13.0,ATHENIAN LEAGUE,LEYTON,FIRST ROUND PROPER,8.0
1956,5.0,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BURTON ALBION,FIRST ROUND PROPER,8.0
1956,11.0,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,HALESOWEN TOWN,FIRST ROUND PROPER,8.0
1956,2.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1956,4.0,CHESHIRE COUNTY LEAGUE,NORTHWICH VICTORIA,FIRST ROUND PROPER,8.0
1956,2.0,EASTERN COUNTIES LEAGUE,MARCH TOWN UNITED,FIRST ROUND PROPER,8.0
1956,1.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1956,1.0,KENT LEAGUE - DIVISION 1,RAMSGATE ATHLETIC,FIRST ROUND PROPER,8.0
1956,2.0,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1956,4.0,LANCASHIRE COMBINATION - DIVISION 1,NETHERFIELD (KENDAL),FIRST ROUND PROPER,8.0
1956,12.0,LANCASHIRE COMBINATION - DIVISION 1,ASHTON UNITED,FIRST ROUND PROPER,8.0
1956,2.0,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1956,16.0,MIDLAND COUNTIES LEAGUE,WORKSOP TOWN,FIRST ROUND PROPER,8.0
1956,18.0,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1956,24.0,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1956,1.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1956,2.0,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1956,3.0,NORTHERN LEAGUE,DURHAM CITY,FIRST ROUND PROPER,8.0
1956,8.0,NORTHERN LEAGUE,SHILDON,FIRST ROUND PROPER,8.0
1956,8.0,SOUTHERN LEAGUE,LOVELLS ATHLETIC,FIRST ROUND PROPER,8.0
1956,13.0,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1956,3.0,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1956,5.0,WESTERN LEAGUE - DIVISION 1,SALISBURY,FIRST ROUND PROPER,8.0
1957,2.0,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 1,BROMSGROVE ROVERS,FIRST ROUND PROPER,8.0
1957,5.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1957,1.0,CORINTHIAN LEAGUE,YIEWSLEY,FIRST ROUND PROPER,8.0
1957,6.0,ISTHMIAN LEAGUE - SENIOR SECTION,TOOTING & MITCHAM UNITED,FIRST ROUND PROPER,8.0
1957,8.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1957,8.0,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1957,2.0,LANCASHIRE COMBINATION - DIVISION 1,NEW BRIGHTON,FIRST ROUND PROPER,8.0
1957,3.0,LANCASHIRE COMBINATION - DIVISION 1,MORECAMBE,FIRST ROUND PROPER,8.0
1957,10.0,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1957,3.0,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1957,21.0,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1957,23.0,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1957,2.0,NORTH-EASTERN LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1957,8.0,NORTH-EASTERN LEAGUE,BLYTH SPARTANS,FIRST ROUND PROPER,8.0
1957,1.0,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1957,3.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1957,10.0,NORTHERN LEAGUE,EVENWOOD TOWN,FIRST ROUND PROPER,8.0
1957,4.0,SOUTHERN LEAGUE,CHELTENHAM TOWN,FIRST ROUND PROPER,8.0
1957,8.0,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1957,7.0,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1957,3.0,YORKSHIRE LEAGUE - FIRST DIVISION,SELBY TOWN,FIRST ROUND PROPER,8.0
1958,14.0,ATHENIAN LEAGUE,REDHILL,FIRST ROUND PROPER,8.0
1958,16.0,ATHENIAN LEAGUE,WALTON & HERSHAM,FIRST ROUND PROPER,8.0
1958,1.0,BIRMINGHAM AND DISTRICT LEAGUE - DIVISION 2,OSWESTRY TOWN,FIRST ROUND PROPER,8.0
1958,9.0,CHESHIRE COUNTY LEAGUE,RHYL,FIRST ROUND PROPER,8.0
1958,10.0,CHESHIRE COUNTY LEAGUE,WITTON ALBION,FIRST ROUND PROPER,8.0
1958,3.0,EASTERN COUNTIES LEAGUE,SPALDING UNITED,FIRST ROUND PROPER,8.0
1958,2.0,ISTHMIAN LEAGUE - SENIOR SECTION,WYCOMBE WANDERERS,FIRST ROUND PROPER,8.0
1958,3.0,ISTHMIAN LEAGUE - SENIOR SECTION,WALTHAMSTOW AVENUE,FIRST ROUND PROPER,8.0
1958,12.0,ISTHMIAN LEAGUE - SENIOR SECTION,CLAPTON,FIRST ROUND PROPER,8.0
1958,2.0,KENT LEAGUE - DIVISION 1,MARGATE,FIRST ROUND PROPER,8.0
1958,2.0,LANCASHIRE COMBINATION - DIVISION 1,PRESCOT CABLES,FIRST ROUND PROPER,8.0
1958,4.0,LANCASHIRE COMBINATION - DIVISION 1,WIGAN ATHLETIC,FIRST ROUND PROPER,8.0
1958,2.0,MIDLAND COUNTIES LEAGUE,WISBECH TOWN,FIRST ROUND PROPER,8.0
1958,3.0,MIDLAND COUNTIES LEAGUE,BOSTON UNITED,FIRST ROUND PROPER,8.0
1958,7.0,MIDLAND COUNTIES LEAGUE,SCARBOROUGH,FIRST ROUND PROPER,8.0
1958,17.0,MIDLAND COUNTIES LEAGUE,GOOLE TOWN,FIRST ROUND PROPER,8.0
1958,1.0,NORTH-EASTERN LEAGUE,SOUTH SHIELDS,FIRST ROUND PROPER,8.0
1958,3.0,NORTHERN LEAGUE,CROOK TOWN,FIRST ROUND PROPER,8.0
1958,4.0,NORTHERN LEAGUE,BISHOP AUCKLAND,FIRST ROUND PROPER,8.0
1958,6.0,NORTHERN LEAGUE,DURHAM CITY,FIRST ROUND PROPER,8.0
1958,10.0,NORTHERN LEAGUE,BILLINGHAM SYNTHONIA,FIRST ROUND PROPER,8.0
1958,5.0,SOUTHERN LEAGUE,WORCESTER CITY,FIRST ROUND PROPER,8.0
1958,7.0,SOUTHERN LEAGUE,HEREFORD UNITED,FIRST ROUND PROPER,8.0
1958,16.0,SOUTHERN LEAGUE,BATH CITY,FIRST ROUND PROPER,8.0
1958,3.0,WESTERN LEAGUE - DIVISION 1,DORCHESTER TOWN,FIRST ROUND PROPER,8.0
1958,5.0,WESTERN LEAGUE - DIVISION 1,TROWBRIDGE TOWN,FIRST ROUND PROPER,8.0
